Label,Predicted
Rain,Trời quang
Có mây một phần,"Mưa, Có mây một phần"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, U ám","Mưa, U ám"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, U ám","Mưa, U ám"
"Mưa, U ám","Mưa, U ám"
"Mưa, U ám","Mưa, U ám"
Trời quang,Trời quang
"Mưa, U ám","Mưa, U ám"
Rain,Rain
"Mưa, Có mây một phần","Mưa, Có mây một phần"
Trời quang,Trời quang
Trời quang,Trời quang
"Mưa, Có mây một phần",Có mây một phần
"Mưa, Có mây một phần",Có mây một phần
Có mây một phần,Trời quang
Rain,Rain
U ám,"Mưa, U ám"
Có mây một phần,Có mây một phần
Trời quang,Trời quang
Trời quang,Trời quang
Trời quang,Trời quang
"Mưa, Có mây một phần",Có mây một phần
"Mưa, Có mây một phần","Mưa, Có mây một phần"
Trời quang,Trời quang
"Mưa, U ám","Mưa, U ám"
"Mưa, Có mây một phần",Có mây một phần
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, U ám","Mưa, U ám"
Có mây một phần,"Mưa, Có mây một phần"
Có mây một phần,Có mây một phần
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, U ám","Mưa, U ám"
Có mây một phần,Có mây một phần
Có mây một phần,"Mưa, Có mây một phần"
Trời quang,Trời quang
"Mưa, U ám","Mưa, U ám"
"Mưa, U ám","Mưa, U ám"
Trời quang,Trời quang
U ám,"Mưa, U ám"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, U ám","Mưa, U ám"
Trời quang,Trời quang
"Mưa, U ám","Mưa, U ám"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
Trời quang,Trời quang
"Mưa, Có mây một phần",Có mây một phần
"Mưa, U ám","Mưa, U ám"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
Rain,Trời quang
"Mưa, Có mây một phần","Mưa, U ám"
Có mây một phần,"Mưa, Có mây một phần"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
Có mây một phần,Có mây một phần
"Mưa, Có mây một phần","Mưa, Có mây một phần"
Có mây một phần,"Mưa, Có mây một phần"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
Có mây một phần,Có mây một phần
Trời quang,Trời quang
